timestamp_ms,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
134500,495,317,526,546,495,610,635,60,535,546,474,317,430,640,740,395
135500,550,317,526,546,550,575,660,0,450,546,474,317,495,785,570,450
136500,495,317,526,546,550,575,660,0,350,546,474,317,540,665,775,425
137500,510,317,495,505,590,1000,550,0,240,470,474,317,540,395,645,195
139000,500,317,526,505,590,575,660,0,240,470,474,317,540,710,765,425
140000,450,317,526,505,515,575,660,0,240,470,535,330,475,715,700,425
141000,495,317,526,505,450,1000,555,0,470,535,535,395,430,45,430,445
142000,455,317,526,505,485,305,250,35,425,535,535,395,440,655,90,945
144000,455,317,526,505,485,305,250,35,425,535,535,395,440,655,90,945
145000,495,565,230,500,530,785,705,390,500,545,670,500,500,185,175,870
148000,460,565,210,500,530,785,705,390,500,460,540,555,500,185,220,620
150000,470,510,210,455,530,280,220,585,500,460,540,700,500,315,350,970
151000,470,565,210,500,530,815,765,390,500,580,505,425,500,205,210,555
152000,470,460,295,435,530,815,690,0,370,555,505,425,500,205,210,990
153000,500,480,340,500,500,950,155,5,500,575,650,500,500,390,190,1000
154000,500,500,295,500,500,895,145,70,500,500,650,435,500,390,230,1000
155000,565,500,340,500,500,840,180,70,500,500,725,500,500,325,160,1000
156000,565,500,340,500,545,765,220,70,525,500,725,500,530,315,230,1000
157000,480,500,340,575,515,765,220,70,470,535,725,545,505,315,230,1000
158000,440,500,340,575,470,765,220,70,470,535,315,385,375,315,230,1000
159000,445,500,340,575,550,765,220,70,470,535,315,385,375,315,230,1000
161000,445,500,340,575,550,200,265,610,470,535,520,385,375,715,360,390
165000,450,400,395,500,535,755,175,105,475,500,725,500,435,360,175,1000
166200,500,204,916,819,500,538,800,725,500,796,84,181,500,462,155,265
168200,500,500,305,500,500,620,185,780,500,500,715,500,500,380,140,235
170200,500,204,916,819,500,535,820,725,500,796,84,181,500,440,625,275
172200,500,500,305,500,500,250,220,585,500,500,715,500,500,685,545,270
174200,565,204,916,840,545,200,290,600,435,796,84,190,370,445,170,900
176200,610,204,916,755,555,625,510,530,500,796,84,175,445,390,535,630
178200,500,387,500,593,500,195,355,635,500,612,500,406,500,425,200,1000
179200,570,375,585,645,480,230,445,695,365,595,535,375,305,445,205,995
